# patch_no npixels trigger_trace_idx fadc_addr trigger_addr pdp_addr sector_no patch_x patch_y patch_q patch_r pixel_0 pixel_1 pixel_2 neighbours_0 neighbours_1 neighbours_2 neighbours_3 neighbours_4 neighbours_5 
0x333 3 18 0x33 0x30 0x35 0 -550.000000 692.820323 -2.666667 18.333333 0x354 0x355 0x356 0x326 0x327 0x332 0x430 0x337 0x434 
0x336 3 18 0x33 0x30 0x35 0 -400.000000 692.820323 0.333333 15.333333 0x353 0x358 0x35a 0x331 0x332 0x335 0x337 0x342 0x343 
0x337 3 18 0x33 0x30 0x35 0 -475.000000 736.121593 -0.666667 17.333333 0x350 0x351 0x352 0x332 0x333 0x336 0x434 0x343 0x440 
0x340 3 19 0x34 0x30 0x36 0 -175.000000 649.519053 4.333333 10.333333 0x367 0x369 0x36b 0x237 0x334 0x243 0x341 0x344 0x345 
0x341 3 19 0x34 0x30 0x36 0 -250.000000 692.820323 3.333333 12.333333 0x364 0x365 0x366 0x334 0x335 0x340 0x342 0x345 0x346 
0x344 3 19 0x34 0x30 0x36 0 -100.000000 692.820323 6.333333 9.333333 0x363 0x368 0x36a 0x243 0x340 0x247 0x345 0x350 0x351 
0x345 3 19 0x34 0x30 0x36 0 -175.000000 736.121593 5.333333 11.333333 0x360 0x361 0x362 0x340 0x341 0x344 0x346 0x351 0x352 
0x342 3 19 0x34 0x30 0x37 0 -325.000000 736.121593 2.333333 14.333333 0x377 0x379 0x37b 0x335 0x336 0x341 0x343 0x346 0x347 
0x343 3 19 0x34 0x30 0x37 0 -400.000000 779.422863 1.333333 16.333333 0x374 0x375 0x376 0x336 0x337 0x342 0x440 0x347 0x444 
0x346 3 19 0x34 0x30 0x37 0 -250.000000 779.422863 4.333333 13.333333 0x373 0x378 0x37a 0x341 0x342 0x345 0x347 0x352 0x353 
0x347 3 19 0x34 0x30 0x37 0 -325.000000 822.724134 3.333333 15.333333 0x370 0x371 0x372 0x342 0x343 0x346 0x444 0x353 0x450 
0x350 3 20 0x35 0x30 0x38 0 -25.000000 736.121593 8.333333 8.333333 0x387 0x389 0x38b 0x247 0x344 0x253 0x351 0x354 0x355 
0x351 3 20 0x35 0x30 0x38 0 -100.000000 779.422863 7.333333 10.333333 0x384 0x385 0x386 0x344 0x345 0x350 0x352 0x355 0x356 
